StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,QID3,Q1,Q1_9_TEXT,Q2,Q3,Q4,Q4_19_TEXT,Q5,Q6,Q7,Q8,Q8_4_TEXT,Q9,Q9_4_TEXT,Q10,Q11,Q12,Q12_7_TEXT,Q 13-20_1,Q 13-20_2,Q 13-20_3,Q 13-20_4,Q 13-20_5,Q 13-20_6,Q 13-20_7,Q 13-20_8,Q21,Q22,Q 23-38_1,Q 23-38_2,Q 23-38_3,Q 23-38_4,Q 23-38_5,Q 23-38_6,Q 23-38_7,Q 23-38_8,Q 23-38_9,Q 23-38_10,Q 23-38_11,Q 23-38_12,Q 23-38_13,Q 23-38_14,Q 23-38_15,Q 23-38_16,Q 23-38_16_TEXT,Q39,Q39_14_TEXT,Q40,Q 41-56_1,Q 41-56_2,Q 41-56_3,Q 41-56_4,Q 41-56_5,Q 41-56_6,Q 41-56_7,Q 41-56_8,Q 41-56_9,Q 41-56_10,Q 41-56_11,Q 41-56_12,Q 41-56_13,Q 41-56_14,Q 41-56_15,Q 41-56_16,Q57,Q58,Q59,Q60,Q61
9/2/24 22:09,9/2/24 22:19,IP Address,YYY,100,586,TRUE,9/2/24 22:19,R_4RYuRBkB9A8a4W5,,,,,,,anonymous,EN,同意,澳門,,是,"中學,高中",英語,,24,2 years,我使用過 GenAI。,"ChatGPT,Claude",,ChatGPT,,不是，我使用免費版本。,有些可訪問（例如，我可以訪問生成式人工智能，但並不總是容易）,"電腦,iPad 或平板電腦,手機",,2 - 略知一二,2 - 略知一二,3 - 中等程度,1 - 完全不了解,4-是,4-是,4-是,3 - 中等程度,是,每天,4= 大量使用,4= 大量使用,3= 一些使用,4= 大量使用,4= 大量使用,4= 大量使用,4= 大量使用,4= 大量使用,3= 一些使用,3= 一些使用,2= 很少使用,2= 很少使用,3= 一些使用,1=完全不使用,4= 大量使用,1=完全不使用,NA,"教師培訓計劃,同事,互聯網（例如，Google，YouTube）",,否,,,,,,,,,,,,,,,,,,有多樣化的教學資源以、減少資料和教材收集的時間。,擔心AI所生成的資料的準確性，亦擔心會過度依賴科技。,內容準確性以及缺乏技巧給予AI指令，以致生成的結果與預期有出入。,希望。向加強對工具使用的熟悉度。
9/2/24 22:38,9/2/24 22:40,IP Address,YYY,100,168,TRUE,9/2/24 22:40,R_43DuufyxZa2VuiE,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 22:41,9/2/24 22:49,IP Address,YYY,100,470,TRUE,9/2/24 22:49,R_4BrnSeTUehQU1FI,,,,,,,anonymous,EN,同意,澳門,,是,大學,"廣東話,普通話",,56,30,我聽說過，但我不使用它。,,,,,,,,,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,不是,,,,,,,,,,,,,,,,,,,同事,,否,,,,,,,,,,,,,,,,,,,,,
9/2/24 22:49,9/2/24 22:51,IP Address,YYY,100,129,TRUE,9/2/24 22:51,R_4HaBpq9qnokjKXD,,,,,,,anonymous,EN,同意,澳門,,是,大學,"廣東話,普通話",,56,30,我聽說過，但我不使用它。,,,,,,,,,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,不是,,,,,,,,,,,,,,,,,,,"同事,我尚未學會如何在課堂上使用生成式人工智能。",,否,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:04,9/2/24 23:05,IP Address,YYY,100,14,TRUE,9/2/24 23:05,R_4Gl1slBp4tRAHV7,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:23,9/2/24 23:25,IP Address,YYY,100,98,TRUE,9/2/24 23:25,R_4jjFcoPALEyTxUt,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,26,4,我使用過 GenAI。,"ChatGPT,Claude,Gemini",,ChatGPT,,不是，我使用免費版本。,完全不可訪問（例如，我很難或不可能訪問生成式人工智能工具）,電腦,,4-是,5- 非常了解,5- 非常了解,4-是,3 - 中等程度,2 - 略知一二,5- 非常了解,5- 非常了解,不是,,,,,,,,,,,,,,,,,,,"工作坊,教師培訓計劃,同事,學生/孩子,互聯網（例如，Google，YouTube）,實驗",,是,4= 大量,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,3= 一些,,,,,
9/2/24 23:25,9/2/24 23:28,IP Address,YYY,100,134,TRUE,9/2/24 23:28,R_4F266M8VM8qJLrW,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,25,2年,我使用過 GenAI。,ChatGPT,,ChatGPT,,不是，我使用免費版本。,有些可訪問（例如，我可以訪問生成式人工智能，但並不總是容易）,手機,,3 - 中等程度,3 - 中等程度,3 - 中等程度,2 - 略知一二,2 - 略知一二,2 - 略知一二,3 - 中等程度,2 - 略知一二,是,每週,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,3= 一些使用,4= 大量使用,3= 一些使用,3= 一些使用,4= 大量使用,3= 一些使用,2= 很少使用,3= 一些使用,,同事,,否,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:36,9/2/24 23:36,IP Address,YYY,100,19,TRUE,9/2/24 23:36,R_4qjFgegjp8aKx9X,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:42,9/2/24 23:43,IP Address,YYY,100,35,TRUE,9/2/24 23:43,R_4Gs61H9wU7fCsdr,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:40,9/2/24 23:43,IP Address,YYY,100,210,TRUE,9/2/24 23:43,R_4KfHrKr9SIwXHZd,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,40,19,我聽說過，但我不使用它。,,,,,,,,,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,"教師培訓計劃,我尚未學會如何在課堂上使用生成式人工智能。",,否,,,,,,,,,,,,,,,,,不太清楚,可能讓學生更易學懂英語,暫時不知道,暫不知道,可以嘗試
9/3/24 0:58,9/3/24 0:58,IP Address,YYY,100,9,TRUE,9/3/24 0:58,R_4BgAHZBD4UKazoB,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/24 1:45,9/3/24 1:46,IP Address,YYY,100,10,TRUE,9/3/24 1:46,R_8y9GqAhAXIvSV31,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/24 1:51,9/3/24 1:52,IP Address,YYY,100,34,TRUE,9/3/24 1:52,R_4d0JbZqKbfunZQU,,,,,,,anonymous,EN,同意,其他 _______,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/24 6:20,9/3/24 6:20,IP Address,YYY,100,44,TRUE,9/3/24 6:20,R_4nZ2kSJ4UJtAUyA,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/24 9:32,9/3/24 9:34,IP Address,YYY,100,101,TRUE,9/3/24 9:34,R_4PTTsO8AlEEHNcI,,,,,,,anonymous,EN,同意,澳門,,是,中學,英語,,22,1年,我聽說過，但我不使用它。,,,,,,,,,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,不是,,,,,,,,,,,,,,,,,,,"工作坊,教師培訓計劃,學生/孩子,互聯網（例如，Google，YouTube）",,否,,,,,,,,,,,,,,,,,,,,,
9/3/24 10:18,9/3/24 10:22,IP Address,YYY,100,236,TRUE,9/3/24 10:22,R_49b71y4uoCDTGeQ,,,,,,,anonymous,EN,同意,澳門,,是,"中學,高中","廣東話,普通話",,25,未滿一年,我從未聽說過它。,,,,,,,,,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,我尚未學會如何在課堂上使用生成式人工智能。,,否,,,,,,,,,,,,,,,,,,,,,
9/3/24 19:32,9/3/24 19:36,IP Address,YYY,100,217,TRUE,9/3/24 19:36,R_4lY7xJjGCPGzQtR,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,33,11,我聽說過，但我不使用它。,,,,,,,,,3 - 中等程度,3 - 中等程度,4-是,1 - 完全不了解,3 - 中等程度,3 - 中等程度,3 - 中等程度,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,"教師培訓計劃,同事,互聯網（例如，Google，YouTube）",,否,,,,,,,,,,,,,,,,,,節省備課時間.,不清楚,不太會運用,"是. 如何使用AI, 如何生成互動性的教學用具."
9/3/24 20:05,9/3/24 20:08,IP Address,YYY,144,TRUE,9/3/24 20:08,R_2JdFntWeyqcUrIZ,,,,,22.201,,,EN,同意,澳門,,是,中學,"廣東話,普通話",,31,6,我從未聽說過它。,,,,,,,,,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,"工作坊,教師培訓計劃,同事,學生/孩子,互聯網（例如，Google，YouTube）",,否,,,,,,,,,,,,,,,,,不了解,提升自我,影響大腦的思維,不了解,希望，都想,
9/3/24 22:24,9/3/24 22:24,IP Address,YYY,100,13,TRUE,9/3/24 22:24,R_42YEOO5oW9IhGud,,,,,,,anonymous,EN,同意,德國,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/24 3:29,9/4/24 3:29,IP Address,YYY,100,11,TRUE,9/4/24 3:29,R_4Fn49wnkX2341IR,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/24 3:29,9/4/24 3:31,IP Address,YYY,100,107,TRUE,9/4/24 3:31,R_4eggrHrYykGI5wY,,,,,,,anonymous,EN,同意,澳門,,是,小學,英語,,25,2年,我聽說過，但我不使用它。,,,,,,,,,3 - 中等程度,2 - 略知一二,3 - 中等程度,3 - 中等程度,3 - 中等程度,2 - 略知一二,2 - 略知一二,2 - 略知一二,不是,,,,,,,,,,,,,,,,,,,互聯網（例如，Google，YouTube）,,否,,,,,,,,,,,,,,,,,,,,,
9/4/24 18:49,9/4/24 18:51,IP Address,YYY,100,142,TRUE,9/4/24 18:51,R_4oBn4gbrm0yLUqO,,,,,,,anonymous,EN,同意,澳門,,是,"幼兒園,小學",葡萄牙語,,46,25,我從未聽說過它。,,,,,,,,,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,我尚未學會如何在課堂上使用生成式人工智能。,,否,,,,,,,,,,,,,,,,,,,,,
9/4/24 23:46,9/4/24 23:46,IP Address,YYY,100,30,TRUE,9/4/24 23:46,R_4BxJyjsIdHhGxxu,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/24 23:47,9/4/24 23:47,IP Address,YYY,100,9,TRUE,9/4/24 23:47,R_42r3Dmgl6Uo4KD7,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/5/24 9:53,9/5/24 9:57,IP Address,YYY,100,208,TRUE,9/5/24 9:57,R_4lxJm8Z6qSDB7gY,,,,,,,anonymous,EN,同意,澳門,,是,"中學,高中",普通話,,34,12,我聽說過，但我不使用它。,,,,,,,,,2 - 略知一二,1 - 完全不了解,2 - 略知一二,1 - 完全不了解,1 - 完全不了解,2 - 略知一二,2 - 略知一二,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,"工作坊,教師培訓計劃,同事,互聯網（例如，Google，YouTube）,實驗",,是,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,2= 很少,3= 一些,3= 一些,2= 很少,,便利,局限思維,設計風格,應用教學
8/30/24 7:45,8/30/24 8:01,IP Address,YYY,50,963,FALSE,9/6/24 8:01,R_4F3dx3gaAx9paSy,,,,,,,anonymous,EN,同意,澳門,,是,小學,廣東話,,23,1,我從未聽說過它。,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 0:32,9/2/24 0:32,IP Address,YYY,16,FALSE,9/9/24 0:32,R_4q8y09BBmbzWhQ1,,,,,,,,EN,同意,澳門,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 21:51,9/2/24 21:51,IP Address,YYY,7,5,FALSE,9/9/24 21:51,R_4RP6TnNbcQyjEV8,,,,,,,anonymous,EN,同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 22:51,9/2/24 22:52,IP Address,YYY,13,22,FALSE,9/9/24 22:52,R_4rJvigjBlJuRItO,,,,,,,anonymous,EN,同意,澳門,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:40,9/2/24 23:41,IP Address,YYY,50,94,FALSE,9/9/24 23:42,R_8CP8g5qtgDYI4Yr,,,,,,,anonymous,EN,同意,澳門,,是,"中學,高中",英語,,26,3 years,我使用過 GenAI。,ChatGPT,,ChatGPT,,不是，我使用免費版本。,完全不可訪問（例如，我很難或不可能訪問生成式人工智能工具）,"電腦,手機",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:43,9/2/24 23:44,IP Address,YYY,7,16,FALSE,9/9/24 23:44,R_4R4KoihAip4kOQy,,,,,,,anonymous,EN,同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/2/24 23:33,9/2/24 23:50,IP Address,YYY,7,1000,FALSE,9/9/24 23:50,R_2DnZJHISch2e4Q0,,,,,,,anonymous,EN,同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/24 0:58,9/3/24 0:58,IP Address,YYY,7,9,FALSE,9/10/24 0:58,R_428Js59q8vikcQF,,,,,,,anonymous,EN,同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/24 1:46,9/3/24 1:46,IP Address,YYY,13,6,FALSE,9/10/24 1:46,R_2Gy6mSyx5N4JsI1,,,,,,,anonymous,EN,同意,澳門,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/3/24 2:16,9/3/24 2:17,IP Address,YYY,13,18,FALSE,9/10/24 2:17,R_2EiDuHtvzQGSeit,,,,,,,anonymous,EN,同意,其他 _______,,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/4/24 18:39,9/4/24 19:59,IP Address,YYY,63,4787,FALSE,9/11/24 19:59,R_42bTL3ScMa69WZb,,,,,,,anonymous,EN,同意,澳門,,是,小學,"英語,普通話",,31,2,我使用過 GenAI。,ChatGPT,,ChatGPT,,不是，我使用免費版本。,有些可訪問（例如，我可以訪問生成式人工智能，但並不總是容易）,"電腦,iPad 或平板電腦,手機",,3 - 中等程度,2 - 略知一二,3 - 中等程度,3 - 中等程度,3 - 中等程度,2 - 略知一二,2 - 略知一二,2 - 略知一二,是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/12/24 20:46,9/12/24 20:59,IP Address,YYY,100,758,TRUE,9/12/24 20:59,R_4TTNtJN0obgNtkm,,,,,,,anonymous,EN,同意,澳門,,是,中學,英語,,43,20 years,我使用過 GenAI。,"ChatGPT,Claude,Gemini,其他","Poe, Ernie Bot ",ChatGPT,,是，我自己付費。,非常可訪問（例如，我可以隨時訪問和使用生成式人工智能工具）,"電腦,iPad 或平板電腦,手機",,3 - 中等程度,3 - 中等程度,3 - 中等程度,2 - 略知一二,4-是,4-是,4-是,3 - 中等程度,是,每天,3= 一些使用,3= 一些使用,2= 很少使用,4= 大量使用,4= 大量使用,4= 大量使用,2= 很少使用,4= 大量使用,3= 一些使用,2= 很少使用,2= 很少使用,4= 大量使用,3= 一些使用,1=完全不使用,5= 非常大量使用,5= 非常大量使用,None ,"工作坊,教師培訓計劃,互聯網（例如，Google，YouTube）,實驗",,是,2= 很少,2= 很少,2= 很少,4= 大量,4= 大量,3= 一些,3= 一些,4= 大量,3= 一些,2= 很少,3= 一些,2= 很少,3= 一些,2= 很少,2= 很少,2= 很少,Can’t think of any at this moment.,"'- differentiated instruction
- graded language
- personalisation",'- Teachers may become over-reliant on GenAI.,'- Ineffective prompts may generate undesirable outcome.,Prompt setting 
9/13/24 4:27,9/13/24 4:28,IP Address,YYY,100,32,TRUE,9/13/24 4:28,R_4dBkyQL9fglOeUc,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/24 4:28,9/13/24 4:28,IP Address,YYY,100,12,TRUE,9/13/24 4:28,R_4KAXmGuhmJpz1SL,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/24 4:29,9/13/24 4:30,IP Address,YYY,100,25,TRUE,9/13/24 4:30,R_4g6PQ7ESNNCfQlE,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/24 4:32,9/13/24 4:33,IP Address,YYY,100,15,TRUE,9/13/24 4:33,R_45LoiEffQjngn3G,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/24 4:33,9/13/24 4:33,IP Address,YYY,100,6,TRUE,9/13/24 4:33,R_4mPZNJFUXfy9BdN,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/24 4:33,9/13/24 4:37,IP Address,YYY,100,252,TRUE,9/13/24 4:37,R_4czkf8QYOLRl6cp,,,,,,,anonymous,EN,同意,澳門,,是,小學,普通話,,28,5,我聽說過，但我不使用它。,,,,,,,,,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,2 - 略知一二,3 - 中等程度,2 - 略知一二,是,每月,1=完全不使用,2= 很少使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,1=完全不使用,,"教師培訓計劃,互聯網（例如，Google，YouTube）",,否,,,,,,,,,,,,,,,,,創意寫作,更具創意,學生缺乏思考能力,文言文內容無法創造圖片或影片,中文科在AI應用技巧及實例
9/13/24 5:00,9/13/24 5:00,IP Address,YYY,100,10,TRUE,9/13/24 5:00,R_4nJC6fKmjKnDzYB,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/13/24 5:00,9/13/24 5:05,IP Address,YYY,100,299,TRUE,9/13/24 5:05,R_4luI3MHuLC2nvw7,,,,,,,anonymous,EN,同意,澳門,,是,中學,英語,,30,8,我使用過 GenAI。,ChatGPT,,ChatGPT,,不是，我使用免費版本。,非常可訪問（例如，我可以隨時訪問和使用生成式人工智能工具）,"電腦,手機",,4-是,2 - 略知一二,2 - 略知一二,1 - 完全不了解,3 - 中等程度,3 - 中等程度,3 - 中等程度,1 - 完全不了解,是,每天,4= 大量使用,4= 大量使用,4= 大量使用,4= 大量使用,3= 一些使用,4= 大量使用,4= 大量使用,3= 一些使用,3= 一些使用,2= 很少使用,3= 一些使用,4= 大量使用,4= 大量使用,3= 一些使用,3= 一些使用,3= 一些使用,,實驗,,否,,,,,,,,,,,,,,,,,No,It can be more efficient. ,Students may not use it properly. ,No,No
9/13/24 5:19,9/13/24 5:19,IP Address,YYY,100,20,TRUE,9/13/24 5:19,R_4L4a6om3DmktKNz,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/24 0:48,9/16/24 0:49,IP Address,YYY,100,7,TRUE,9/16/24 0:49,R_4s653QAz1AKopvr,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/16/24 2:52,9/16/24 2:53,IP Address,YYY,100,14,TRUE,9/16/24 2:53,R_4Rlow5Kv2EwvQWG,,,,,,,anonymous,EN,同意,澳門,,不是,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9/17/24 2:05,9/17/24 2:17,IP Address,YYY,100,733,TRUE,9/17/24 2:17,R_4oC9ixaxWLIaj7l,,,,,,,anonymous,EN,同意,澳門,,是,小學,廣東話,,50,29,我使用過 GenAI。,ChatGPT,,ChatGPT,,不是，我使用免費版本。,有些可訪問（例如，我可以訪問生成式人工智能，但並不總是容易）,手機,,2 - 略知一二,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,1 - 完全不了解,不是,,,,,,,,,,,,,,,,,,,我尚未學會如何在課堂上使用生成式人工智能。,,否,,,,,,,,,,,,,,,,,可以輔助教學用途,方便取得資訊,準確性的真偽,,
9/13/24 4:18,9/13/24 4:18,IP Address,YYY,7,8,FALSE,9/20/24 4:18,R_4Wle1ijnFgmn40p,,,,,,,anonymous,EN,同意,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,